time,commanded_linear,commanded_angular,x_actual,y_actual,theta_actual,v_actual,omega_actual
30.739245653152466,0,1.82,-0.2655522279512111,0.4535865965393527,-1.013724784818794,-0.017814410067341892,1.8029056375749122
30.74751377105713,0,1.82,-0.2655522279512111,0.4535865965393527,-1.013724784818794,-0.017814410067341892,1.8029056375749122
30.757829904556274,0,1.82,-0.26620521589062335,0.45449038412751214,-0.8942501004832814,-0.01657507898272524,1.8131391502468468
30.772555112838745,0,1.82,-0.26620521589062335,0.45449038412751214,-0.8942501004832814,-0.01657507898272524,1.8131391502468468
30.77905559539795,0,1.82,-0.26620521589062335,0.45449038412751214,-0.8942501004832814,-0.01657507898272524,1.8131391502468468
30.78796362876892,0,1.82,-0.26620521589062335,0.45449038412751214,-0.8942501004832814,-0.01657507898272524,1.8131391502468468
30.816425561904907,0,1.82,-0.2665740863409219,0.4549132748135674,-0.832601658638484,-0.016472871037088787,1.8130755630518662
30.821658611297607,0,1.82,-0.26695264232373334,0.4552975984070959,-0.7727800846156193,-0.016240675229946093,1.8122737769450692
30.828288793563843,0,1.82,-0.26695264232373334,0.4552975984070959,-0.7727800846156193,-0.016240675229946093,1.8122737769450692
30.834441661834717,0,1.82,-0.26695264232373334,0.4552975984070959,-0.7727800846156193,-0.016240675229946093,1.8122737769450692
30.841675281524658,0,1.82,-0.26695264232373334,0.4552975984070959,-0.7727800846156193,-0.016240675229946093,1.8122737769450692
30.852784872055054,0,1.82,-0.26695264232373334,0.4552975984070959,-0.7727800846156193,-0.016240675229946093,1.8122737769450692
30.859195232391357,0,1.82,-0.26695264232373334,0.4552975984070959,-0.7727800846156193,-0.016240675229946093,1.8122737769450692
30.872469186782837,0,1.82,-0.267342634637342,0.45564904726311606,-0.7130295689790163,-0.015562251009183996,1.8086555449526764
30.88105344772339,0,1.82,-0.267342634637342,0.45564904726311606,-0.7130295689790163,-0.015562251009183996,1.8086555449526764
30.88723063468933,0,1.82,-0.267342634637342,0.45564904726311606,-0.7130295689790163,-0.015562251009183996,1.8086555449526764
30.920956134796143,0,1.82,-0.26776922395097236,0.4559877261850239,-0.6514151445258295,-0.016225283086447044,1.8136483688582015
30.92606234550476,0,1.82,-0.26776922395097236,0.4559877261850239,-0.6514151445258295,-0.016225283086447044,1.8136483688582015
30.93220353126526,0,1.82,-0.26776922395097236,0.4559877261850239,-0.6514151445258295,-0.016225283086447044,1.8136483688582015
30.938365936279297,0,1.82,-0.26776922395097236,0.4559877261850239,-0.6514151445258295,-0.016225283086447044,1.8136483688582015
30.9455144405365,0,1.82,-0.26776922395097236,0.4559877261850239,-0.6514151445258295,-0.016225283086447044,1.8136483688582015
30.95432209968567,0,1.82,-0.26776922395097236,0.4559877261850239,-0.6514151445258295,-0.016225283086447044,1.8136483688582015
30.961403608322144,0,1.82,-0.2686560726473336,0.4565696961050666,-0.5317213497318003,-0.016021241419431523,1.8137260662128734
30.974084854125977,0,1.82,-0.2686560726473336,0.4565696961050666,-0.5317213497318003,-0.016021241419431523,1.8137260662128734
30.98418092727661,0,1.82,-0.2686560726473336,0.4565696961050666,-0.5317213497318003,-0.016021241419431523,1.8137260662128734
30.990376234054565,0,1.82,-0.2686560726473336,0.4565696961050666,-0.5317213497318003,-0.016021241419431523,1.8137260662128734
30.99858570098877,0,1.82,-0.2686560726473336,0.4565696961050666,-0.5317213497318003,-0.016021241419431523,1.8137260662128734
31.00735569000244,0,1.82,-0.26961785253450765,0.45704613146864886,-0.4101758799190245,-0.016067711592538527,1.8144150486608541
31.028369903564453,0,1.82,-0.26961785253450765,0.45704613146864886,-0.4101758799190245,-0.016067711592538527,1.8144150486608541
31.035556077957153,0,1.82,-0.26961785253450765,0.45704613146864886,-0.4101758799190245,-0.016067711592538527,1.8144150486608541
31.04269027709961,0,1.82,-0.26961785253450765,0.45704613146864886,-0.4101758799190245,-0.016067711592538527,1.8144150486608541
31.050866842269897,0,1.82,-0.27011406964321294,0.45723827582812243,-0.35030434002248345,-0.01621588927152629,1.8141063576871261
31.059611320495605,0,1.82,-0.27011406964321294,0.45723827582812243,-0.35030434002248345,-0.01621588927152629,1.8141063576871261
